
-------------------------------------------------------------------------------------------------
Event#  Enabling_Time     Delay    Firing_Time    Firing_Tr   Token_ID     Marking(befor firing)  
   264    73.000000      1.000000      74.000000   Etimer19         0     11210100000010111111000(57)(49)5(12)(65)0(65)0
   265    74.000000      1.000000      75.000000   Etimer18         0     11210100000010111111000(57)(49)6(12)(65)0(65)0
   266    74.000000      1.000000      75.000000   Etimer19         0     11210100000010111111000(57)(50)6(12)(65)0(65)0
   267    74.000000      1.000000      75.000000   Etimer17         0     11210100000010111111000(57)(50)7(12)(65)0(65)0
   268    74.000000      1.000000      75.000000   Etimer20         0     11210100000010111111000(58)(50)7(12)(65)0(65)0
   269    75.000000      1.000000      76.000000   Etimer19         0     11210100000010111111000(58)(50)7(13)(65)0(65)0
   270    75.000000      1.000000      76.000000   Etimer20         0     11210100000010111111000(58)(50)8(13)(65)0(65)0
   271    75.000000      1.000000      76.000000   Etimer17         0     11210100000010111111000(58)(50)8(14)(65)0(65)0
   272    75.000000      1.000000      76.000000   Etimer18         0     11210100000010111111000(59)(50)8(14)(65)0(65)0
   273    76.000000      1.000000      77.000000   Etimer18         0     11210100000010111111000(59)(51)8(14)(65)0(65)0
   274    76.000000      1.000000      77.000000   Etimer19         0     11210100000010111111000(59)(52)8(14)(65)0(65)0
   275    76.000000      1.000000      77.000000   Etimer20         0     11210100000010111111000(59)(52)9(14)(65)0(65)0
   276    76.000000      1.000000      77.000000   Etimer17         0     11210100000010111111000(59)(52)9(15)(65)0(65)0
   277    77.000000      1.000000      78.000000   Etimer18         0     11210100000010111111000(60)(52)9(15)(65)0(65)0
   278    77.000000      1.000000      78.000000   Etimer20         0     11210100000010111111000(60)(53)9(15)(65)0(65)0
   279    77.000000      1.000000      78.000000   Etimer19         0     11210100000010111111000(60)(53)9(16)(65)0(65)0
   280    77.000000      1.000000      78.000000   Etimer17         0     11210100000010111111000(60)(53)(10)(16)(65)0(65)0
   281    78.000000      1.000000      79.000000   Etimer17         0     11210100000010111111000(61)(53)(10)(16)(65)0(65)0
   282    78.000000      1.000000      79.000000   Etimer19         0     11210100000010111111000(62)(53)(10)(16)(65)0(65)0
